"Name","Title"
"Jay Jajoo","GenAI Engineer | Data Science Graduate Student @Northeastern | Data Engineer | ML Enthusiast | AI | Big Data | Cloud | NLP | Web Developer"
"Marie Dahl","Partner Success Lead @Milkywire"
"Shruti Priya","Executive Tech & Global Legal Leader | Legal Strategy, Compliance, & Governance for Fortune 100s & High-Tech Scale-Ups | $1B+ Revenue Impact"
"Deqa Abukar","Co-founder BLING, Investor"
"Colin Creagh","Head of Klarna, Ireland | GTM expert | ex eBay | MBA"
"Tori Galloso May","Helping Cloud ISVs & GSIs to Craft Joint Value Propositions | GTM with AWS, Azure & GCP Hyperscalers ☁️ | Strategic Alliances | Partner Experience"
"Peter Githinji","Climate Finance & Carbon Markets Strategist | Co-Founder, KiotaSIC | Accelerating Sustainable Innovation & Economic Opportunity in East Africa."
"Mike Alves, MSAFP, CFP®, CEPA, CRPC®","Founder & Managing Partner | Late-Stage Pre-IPO AI & Humanoid Robotics Fund | Investing in Innovation & Future Tech with No Management Fees | Building a Legacy for the Next Generation"
"Sara Simmonds","#1 Business Growth Expert for Purpose Led Founders | Scale to $1M, $50M and beyond as a Category Of One business | Creator of Impact Innovator Mastermind | $200M+ in revenue for values-driven businesses"
"pi2Life","Company (2,318 followers)"
"Funder","Company (1,448 followers)"
"Dhanesh Kothari","Compassionate Capitalism | Founder of pi2Life - Funder, B2B Marketplace, Product Locator, Shopical | Ethics | Entrepreneur | Mentor | Board Advisor | Sustainability | Impact | VeganTech | FinTech | RetailTech | Digital"
"Permira","Company (119,663 followers)"
"Vanessa Sforza","CRM & Marketing Automation Consultant | Progetto strategie data-driven per far crescere il valore dei tuoi clienti"
"Luisa Betanzos","Operations Team Manager / Conference Planner / Account Executive"
"Francesca Barbazeni","Engineering Manager @ Klarna"
"Ellen Bugge","Events & Marketing Manager, APAC & NCE"
"Freddie O'Shea","Head of Marketing || Driving Climate Innovation at Blue Earth"
"Joni Roberts","Chief Marketing Officer & SVP I Mentor I Advocate I Passionate Executive I Author"
"Gary Rohloff","Head of ANZ, Klarna"
"Olga Birmpa","Hellenic Statistical Authority (ELSTAT)"
"Christof M.","Business Development Manager @Klarna"
"Suzi McGoldrick","Account Manager - Blue Earth"
"Esref Ozturk","Lead Engineer at Klarna"
"Praveen Pandey","Senior IT Manager at Klarna || ITIL Certified || Cloud & Infrastructure Services || Data Center Operations"
"Growth HQ","Company (1,226 followers)"
"Zuzanna Kiniewicz","Senior Marketing Manager"
"Jan Martens","Software Engineer at Web Computing"
"Birgitta Langenskiöld","Hanken&SSE EMBA23 graduate. Investor"
"Arina Timofeeva","Business Operations Specialist at Klarna"
"Fredrik Andersson Guldkula","Climate tech investor @ R-evolution (Hexagon AB)"
"Jill Raval","Nature Finance & Regenerative Agriculture"
"Sofia Lindelöw","Managing Director Nordics at Norrsken Foundation"
"Alicia Mireya Daza Castillo","Software Engineer"
"Sebastian Steinke","Engineering Manager at Klarna"
"Oskar Strandqvist","Head of Partner AML Risk at Klarna"
"Wayne Marcus, MBA","Business Development | National Account Management | Project Management"
"Andrew Sangjun, Rhee PhD","Consultant | Ethnography Empirical Market Reserach; Social Finance, Decarbonization, Responsible AI | PhD | PwC"
"Anders Norlin","Venture Builder | Strategic Advisor | Board Executive | Investor | 💚 Impact°Nature°Climate°Tech | 💙💛🇺🇦"
"Fani Kogketsidou","Quality Assurance Analyst for Global Complaints"
"Ernst H.","Unterschiede sehen Virtual oder Real"
